2021,2022,2023,2024
A001120,A353200,A051600,A004170
A009420,A005070,A006280,A089030
A014820,A235980,A004000,A095340
A003690,A014820,A121600,A328130
A241590,A200130,A000250,A336260
A079160,A010120,A078600,A017800
A003530,A010780,A010060,A036930
A114090,A056190,A056190,A457190
A300720,A271940,A375500,A047040
A284740,A323990,A064550,A161890
A363280,A206650,A145020,A011210
A003520,A019170,A004800,A137400
A103140,A001120,A336370,A111770
A267270,A005290,A225570,A112040
A057050,A178920,A073240,A000240
A005440,A139130,A034230,A004490
A020000,A005850,A069620,A064760
A001430,A000210,A096530,A232140
A298000,A042700,A093370,A039200
A006040,A035900,A005300,A036830
A001800,A030190,A285130,A000080
A009900,A039030,A353200,A280360
A002840,A017800,A009420,A139130
A018670,A000150,A248070,A185750
A011000,A000240,A372170,A214450
A079550,A020560,A006110,A006280
A005690,A025900,A064760,A121600
A001680,A178920,A214450,A103590
A105630,A089860,A101490,A003690
A344820,A048410,A114090,A253450
A006120,A300720,A137400,A375500
A280360,A363280,A069960,A009240
A272450,A194480,A139130,A034230
A192400,A086450,A120110,A281740
A000070,A042670,A267270,A006360
A089590,A048260,A140860,A014820
A003470,A060250,A018670,A004800
A064960,A031430,A001120,A140860
A093370,A022100,A298380,A137310
A003540,A000670,A067630,A001120
A025540,A140410,A014820,A006040
A071840,A009900,A348370,A002710
A049770,A000250,A141080,A069620
A036420,A018670,A000240,A336370
A082640,A195870,A039030,A145720
A069260,A036540,A010780,A004000
A268280,A381970,A328130,A248070
A033270,A073240,A009900,A067160
A012630,A141080,A213420,A001720
A009450,A181710,A001740,A018290
A108670,A249420,A271940,A006110
A383800,A032350,A095660,A031980
A034120,A001740,A185750,A005300
A017810,A046890,A103140,A214370
A002350,A003690,A001230,A140410
A005880,A069080,A009240,A033100
A001880,A248070,A100090,A229640
A267260,A014830,A089860,A069960
,A012510,A089590,A009970
,A067160,A003690,A108320
,A039200,A280360,A298380
,A185750,A418550,A353200
,A079160,A009520,A120110
,A084990,A456040,A393890
,A003240,A006740,A084370
,A089590,A281740,A294870
,A086900,A178920,A000210
,A213420,A222800,A001740
,A084370,A000670,A005420
,A017390,A025900,A204270
,A085660,A000210,A067310
,A041510,A195940,A213420
,A028150,A001800,A096530
,A039130,A012510,A222800
,A151910,A098460,A195940
,A084850,A383310,A267270
,A144510,A002710,A003620
,A005250,A420770,A082740
,A006650,A036540,A086900
,A069260,A181710,A089860
,A214150,A007660,A056190
,A214320,A003380,A067630
,A140860,A069260,A365340
,A268280,A009970,A399720
,A112040,A039200,A383310
,A016710,A192820,A166090
,A067630,A016380,A192080
,A005880,A052020,A000400
,A298380,A020560,A085660
,A011000,A048410,A002840
,A161890,A166090,A006650
,A114090,A019170,A225570
,A003380,A001430,A003090
,A241590,A008730,A098460
,A005690,A376300,A008730
,A013890,A161000,A085620
,A020000,A300720,A300720
,A122870,A095340,A285130
,A082270,A161890,A001800
,A082640,A006650,A271940
,A027360,A003230,A105630
,A036420,A195870,A319660
,A218410,A090460,A074600
,A344820,A078340,A352480
,A009420,A003090,A039130
,A023590,A067160,A003030
,A272450,A085660,A100090
,A007700,A023590,A078130
,A294870,A039130,A036540
,A001800,A294090,A287410
,A086520,A032350,A023590
,A034120,A067310,A025320
,A105630,A294870,A089590
,A145720,A222080,A183300
,A006040,A002840,A214320
,A166090,A272290,A440110
,A002840,A036930,A025900
,A097520,A007340,A456040
,A033640,A192080,A101490
,A215600,A015750,A086450
,A003530,,A051980
,A004490,,A090460
,A007390,,A006120
,A214450,,A005180
,A025980,,A009520
,A103140,,A114090
,A003540,,A001680
,A084110,,A001430
,A003850,,A082640
,A299660,,A020560
,A183490,,A178920
,A230360,,A281820
,A005440,,A119860
,A217270,,A064550
,A267260,,A122870
,A192080,,A093370
,,,A036810
,,,A048410
